13/08/2023 - 04:28:29 PM	crxazwse(Joining/Connecting) connected from the server
13/08/2023 - 04:47:01 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:01 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:47:02 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:02 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:02 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:02 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:02 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:47:03 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:03 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:03 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:47:04 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:04 PM	Allan(Гражданин) used ULX command ' unfreeze Allan'
13/08/2023 - 04:47:04 PM	Барни Барнакл(Гражданин) said '/admgoroda'
13/08/2023 - 04:47:04 PM	Барни Барнакл(Администратор города) changed his team from 'Гражданин' to 'Администратор города'
13/08/2023 - 04:47:04 PM	[KILL] The world killed Барни Барнакл(Администратор города) with inf damage using fall damage
13/08/2023 - 04:47:04 PM	Барни Барнакл(Гражданин) changed his team from 'Администратор города' to 'Гражданин'
13/08/2023 - 04:47:05 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:47:06 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:06 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:06 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:47:07 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:07 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:08 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:08 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:09 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:09 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:47:09 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:47:11 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:11 PM	ican(Joining/Connecting) connected from the server
13/08/2023 - 04:47:11 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:47:12 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:12 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:12 PM	crxazwse(UNIT.1) said '// перезайди'
13/08/2023 - 04:47:12 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:12 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:12 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:47:13 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:13 PM	Allan(Гражданин) said '/adminpocsilnij'
13/08/2023 - 04:47:13 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:13 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:47:14 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:15 PM	crxazwse(UNIT.1) said '// снимется'
13/08/2023 - 04:47:16 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:16 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:16 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:47:17 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:47:17 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:17 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:18 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:18 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:19 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:19 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:47:19 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:47:21 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:21 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:47:22 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:22 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:22 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:22 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:22 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:47:23 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:23 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:23 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:47:24 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:25 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:47:26 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:26 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:26 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:47:27 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:27 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:28 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:28 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:28 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:29 PM	Allan(Гражданин) said '/adminpocsilnij'
13/08/2023 - 04:47:29 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:47:29 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:47:30 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:31 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:31 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:47:32 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:32 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:32 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:32 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:32 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:32 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:47:33 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:33 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:33 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:47:34 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:34 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:35 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:47:36 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:36 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:36 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:36 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:47:37 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:37 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:38 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:38 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:38 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:39 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:47:39 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:47:40 PM	Alex(UNIT.4) said '/admicnunit5'
13/08/2023 - 04:47:41 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:41 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:47:42 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:42 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:42 PM	Allan(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:42 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:43 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:47:43 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:43 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:43 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:47:44 PM	Allan(Гражданин) said '/adminpocsilnij'
13/08/2023 - 04:47:44 PM	Allan(Посыльный ГСР) changed his team from 'Гражданин' to 'Посыльный ГСР'
13/08/2023 - 04:47:44 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:46 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:47:46 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:46 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:46 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:47:46 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:47 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:47 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:48 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:48 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:49 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:49 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:47:49 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:47:51 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:51 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:47:52 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:52 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:52 PM	Allan(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 04:47:52 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:52 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:47:53 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:53 PM	Виталя Спарда(Гражданин) said '/admicnunit4'
13/08/2023 - 04:47:53 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:53 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:47:53 PM	Allan(Посыльный ГСР) said 'чтоьть'
13/08/2023 - 04:47:54 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:47:54 PM	Total Devastation(Гражданин) said '/spectate'
13/08/2023 - 04:47:55 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 04:47:55 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:47:55 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 04:47:56 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 04:47:56 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 04:47:56 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:56 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:56 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:47:56 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:47:57 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 04:47:57 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:57 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:57 PM	Total Devastation(Гражданин) entered '_FSpectatePosUpdate'
13/08/2023 - 04:47:57 PM	Total Devastation(Гражданин) entered 'FTPToPos'
13/08/2023 - 04:47:57 PM	Total Devastation(Гражданин) entered 'FSpectate_StopSpectating'
13/08/2023 - 04:47:58 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:58 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:58 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:47:59 PM	Олар(CMD.OTA) said 'Чего?'
13/08/2023 - 04:47:59 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:47:59 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:48:01 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:01 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:48:02 PM	Total Devastation(Гражданин) said '// весело было?'
13/08/2023 - 04:48:02 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:02 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:02 PM	Allan(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 04:48:02 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:02 PM	Джейкоб Чурбан(Гражданин) said '/drop'
13/08/2023 - 04:48:03 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:48:03 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:03 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:03 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:48:04 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:05 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:48:06 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:06 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:06 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:48:06 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:07 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:07 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:08 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:08 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:09 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:09 PM	Джейкоб Чурбан(Гражданин) said '/drop'
13/08/2023 - 04:48:09 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:48:09 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:48:09 PM	Alex(UNIT.4) said '/admicnunit5'
13/08/2023 - 04:48:10 PM	Олар(CMD.OTA) said 'Выполнять'
13/08/2023 - 04:48:11 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:11 PM	Allan(Посыльный ГСР) said 'я знаю'
13/08/2023 - 04:48:11 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:48:12 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:12 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:12 PM	Allan(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 04:48:12 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:12 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:48:13 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:13 PM	Allan(Посыльный ГСР) said '/me получил посылку'
13/08/2023 - 04:48:13 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:13 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:48:14 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:15 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:48:16 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:16 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:16 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:48:16 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:17 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:17 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:18 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:18 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:18 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:19 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:48:19 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:48:21 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:21 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:48:22 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:22 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:22 PM	Allan(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 04:48:22 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:22 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:48:23 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:23 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:23 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:48:24 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:25 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:48:26 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:26 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:26 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:26 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:48:27 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:27 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:27 PM	Gamoda(Гражданин) used 'camera'
13/08/2023 - 04:48:28 PM	Иисус Христос(Гражданин) said 'слышу'
13/08/2023 - 04:48:28 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:28 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:29 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:29 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:48:29 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:48:31 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:31 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:48:32 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:32 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:32 PM	Allan(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 04:48:32 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:32 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:48:33 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:33 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:33 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:48:34 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:34 PM	Gamoda(Гражданин) used 'camera'
13/08/2023 - 04:48:35 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:48:36 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:36 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:36 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:36 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:48:37 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:37 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:38 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:38 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:39 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:39 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:48:39 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:48:39 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) spawned a 'models/props_lab/citizenradio.mdl'
13/08/2023 - 04:48:41 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:41 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:48:42 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:42 PM	Allan(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 04:48:42 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:42 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:42 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:48:43 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:43 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:43 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:48:44 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:45 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:48:46 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:46 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:46 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:46 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:48:47 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:47 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:48 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:48 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:48 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:49 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:48:49 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:48:51 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:51 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:48:52 PM	Джейкоб Чурбан(Гражданин) said '/drop'
13/08/2023 - 04:48:52 PM	Виталя Спарда(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:52 PM	Ганс Краппицкой(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:52 PM	Allan(Посыльный ГСР) entered 'discs_request'
13/08/2023 - 04:48:52 PM	РОМА(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:52 PM	Время 90-x[|ᎮԄຖɬ|](Пищевой снабдитель ГСР) entered 'discs_request'
13/08/2023 - 04:48:53 PM	Паралич мозга(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:53 PM	Gamoda(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:53 PM	Kserg31(OTA.SNIPER) entered 'discs_request'
13/08/2023 - 04:48:54 PM	Jaycob Worton(UNIT.3) entered 'discs_request'
13/08/2023 - 04:48:55 PM	Иван Золотцев(UNIT.2) entered 'discs_request'
13/08/2023 - 04:48:56 PM	Иисус Христос(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:56 PM	Total Devastation(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:56 PM	unnonrp(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:48:56 PM	привет мой лучший(UNIT.5) entered 'discs_request'
13/08/2023 - 04:48:57 PM	Гроз Абдиларев(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:57 PM	💀 SCP-173 💀(UA)(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:58 PM	Джейкоб Чурбан(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:58 PM	Барни Барнакл(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:59 PM	Вася(Гражданин) entered 'discs_request'
13/08/2023 - 04:48:59 PM	crxazwse(UNIT.1) entered 'discs_request'
13/08/2023 - 04:48:59 PM	Alex(UNIT.4) entered 'discs_request'
13/08/2023 - 04:49:01 PM	vadimhalo(OTA.ELITE) entered 'discs_request'
13/08/2023 - 04:49:01 PM	Олар(CMD.OTA) entered 'discs_request'
13/08/2023 - 04:49:01 PM	Ганс Краппицкой(Гражданин) said '/admincunitmedic'
13/08/2023 - 04:49:01 PM	Ганс Краппицкой(UNIT.MEDIC) changed his team from 'Гражданин' to 'UNIT.MEDIC'
13/08/2023 - 04:49:01 PM	Джейкоб Чурбан(Гражданин) said '/adminbeczhenec'
